node,degree,bc,cc,clustering_coefficient,neighborhood_connectivity,undirected_edges,radiality,topological_coefficient,hub_status,bc_rank,bottleneck_status,hb_status
AKT1,19,0.232014361,0.913043478,0.397660819,8.263157895,19,0.994987469,0.393483709,Hub,1.0,Bottleneck,Hub-Bottleneck
EGFR,16,0.123046107,0.807692308,0.483333333,9.125,16,0.987468672,0.43452381,Non-Hub,4.0,Non-Bottleneck,Not Hub-Bottleneck
PTGS2,16,0.131643991,0.807692308,0.441666667,8.875,16,0.987468672,0.422619048,Non-Hub,3.0,Non-Bottleneck,Not Hub-Bottleneck
MAPK1,12,0.023635676,0.65625,0.651515152,10.66666667,12,0.972431078,0.561403509,Non-Hub,5.0,Non-Bottleneck,Not Hub-Bottleneck
ESR1,12,0.018125472,0.65625,0.696969697,10.83333333,12,0.972431078,0.570175439,Non-Hub,7.0,Non-Bottleneck,Not Hub-Bottleneck
APP,10,0.022698413,0.65625,0.711111111,11.3,10,0.972431078,0.538095238,Non-Hub,6.0,Non-Bottleneck,Not Hub-Bottleneck
SNCA,9,0.012857143,0.636363636,0.805555556,12.0,9,0.969924812,0.571428571,Non-Hub,8.0,Non-Bottleneck,Not Hub-Bottleneck
MAPK8,9,0.003907785,0.6,0.861111111,12.33333333,9,0.964912281,0.649122807,Non-Hub,16.0,Non-Bottleneck,Not Hub-Bottleneck
PIK3CA,9,0.007709751,0.6,0.75,10.88888889,9,0.964912281,0.573099415,Non-Hub,9.0,Non-Bottleneck,Not Hub-Bottleneck
AR,8,0.007479214,0.583333333,0.75,12.25,8,0.962406015,0.644736842,Non-Hub,10.0,Non-Bottleneck,Not Hub-Bottleneck
MAP2K1,8,0.005608466,0.583333333,0.785714286,12.375,8,0.962406015,0.651315789,Non-Hub,13.0,Non-Bottleneck,Not Hub-Bottleneck
MET,8,0.005608466,0.583333333,0.785714286,11.5,8,0.962406015,0.605263158,Non-Hub,14.0,Non-Bottleneck,Not Hub-Bottleneck
ACHE,8,0.181904762,0.617647059,0.535714286,10.0,8,0.967418546,0.476190476,Non-Hub,2.0,Bottleneck,Not Hub-Bottleneck
GSK3A,6,0.006281179,0.552631579,0.6,10.5,6,0.957393484,0.552631579,Non-Hub,12.0,Non-Bottleneck,Not Hub-Bottleneck
PKM,6,0.005442177,0.552631579,0.733333333,12.33333333,6,0.957393484,0.649122807,Non-Hub,15.0,Non-Bottleneck,Not Hub-Bottleneck
BACE1,6,0.006746032,0.583333333,0.8,11.33333333,6,0.962406015,0.53968254,Non-Hub,11.0,Non-Bottleneck,Not Hub-Bottleneck
PDGFRB,6,0.000529,0.552631579,0.933333333,13.33333333,6,0.957393484,0.701754386,Non-Hub,17.0,Non-Bottleneck,Not Hub-Bottleneck
LDHA,3,0.0,0.512195122,1.0,13.66666667,3,0.949874687,0.719298246,Non-Hub,18.0,Non-Bottleneck,Not Hub-Bottleneck
TRPV1,3,0.0,0.512195122,1.0,17.0,3,0.949874687,0.894736842,Non-Hub,19.0,Non-Bottleneck,Not Hub-Bottleneck
ODC1,2,0.0,0.5,1.0,17.5,2,0.947368421,0.921052632,Non-Hub,20.0,Non-Bottleneck,Not Hub-Bottleneck
CHRM2,2,0.0,0.396226415,1.0,5.0,2,0.919799499,0.625,Non-Hub,21.0,Non-Bottleneck,Not Hub-Bottleneck
CHRM1,2,0.0,0.396226415,1.0,5.0,2,0.919799499,0.625,Non-Hub,22.0,Non-Bottleneck,Not Hub-Bottleneck
